,a (AU),e,i (deg),w (deg),Node (deg),M (deg),q (AU),H (mag),MOID (AU),class
54,0.5728179274328059,0.588602596,-0.015144582232147293,0.07587576805604825,0.797602849350447,0.6507260308694874,0.9668148454460871,0.6626506024096388,0.8367849210636893,0
55,0.17542056590042407,0.136979939,0.3269234453940755,0.029046524919065377,0.5294987568810743,0.2507427345115117,0.9800475550501394,0.8554216867469879,0.8679792704644136,0
56,0.6744513162250456,0.6392742370000001,0.027627991421017375,0.9684945171359548,0.21979899946786208,0.2865038430987384,0.9592680657500258,0.49397590361445776,0.8275006502991377,0
57,0.6750297678245843,0.6383105170000001,0.21154348532597858,0.45918679615151115,0.9445007372028564,0.26866199014906833,0.9627830042386022,0.8072289156626509,0.8732617003821758,0
58,0.5431732011994507,0.575645783,-0.37963522406455397,0.8581235652210976,0.7127754743283818,0.566748779398103,0.9580274992246459,0.7349397590361444,0.9844528483102228,0
59,0.15327978605266854,0.096326538,1.104397777219012,0.4539958210839036,0.1893823987871567,0.7602937921452756,0.9634032875012922,0.7108433734939759,0.2992176401144527,0
60,0.4686602755560122,0.519311138,-0.012013916024431233,0.07674196892506999,0.7805648263518667,0.7524131045509553,0.9774630414555979,0.8554216867469879,0.9871540908818056,0
61,0.5884568613862099,0.590644111,-0.18346254418964833,0.9601543097837979,0.02036226626161234,0.3349394298882029,0.9831489713635894,0.927710843373494,0.9349100586269684,0
62,0.3883835654621939,0.45167190399999996,-0.3746578459191175,0.4526319772722719,0.5533496426891763,0.05711038781522827,0.9804610772252661,0.8674698795180724,0.8863077015427098,0
63,0.17149937473721724,0.134201991,0.03389586644344829,0.5269306676168685,0.03775759887458751,0.5970906941992677,0.9720872531789516,0.9156626506024095,0.6825339656241871,0
64,0.4127425714478966,0.48464265,-0.20893618454011148,0.4043933215701689,0.05876839102803915,0.7723689144243534,0.9579241186808644,0.7228915662650603,0.9971186745903116,0
65,0.5909561759235694,0.589861979,1.2069036050461963,0.03825509747226288,0.7349473792136421,0.1357536753453384,0.9886281401840172,0.6987951807228914,0.8955919723072614,0
66,0.32617610423662236,0.383598314,-0.3221102866843129,0.499433490061888,0.4469744281621237,0.02453425693888536,0.9851132016954408,0.7831325301204823,0.7557476439162015,0
67,0.3993731530752185,0.46812725299999997,-0.3849010808508986,0.6331344843290364,0.18192065814398883,0.7158523145774895,0.9678486508839038,0.8072289156626509,0.9108389859335295,0
68,0.39397626933041385,0.46012548600000003,-0.23393338649716774,0.5631022275595553,0.24297959153317542,0.7741336559052935,0.9740514835108031,0.6144578313253013,0.6586229665646197,0
69,0.421971797316392,0.49132281,-0.10968687823439792,0.4810877105529983,0.9681613898465062,0.37327124863980704,0.9600951101002791,0.6024096385542173,0.61118114332593,0
70,0.2549318962445586,0.304851779,0.9888470191598517,0.9891912147997479,0.2925531595332325,0.3203444978685643,0.9565801716117025,0.927710843373494,0.7154891249974988,0
71,0.1729910501259375,0.12196803699999999,1.6740968274345054,0.9914751338893364,0.8033917271871119,0.6335357437034473,0.9915227954099038,0.7228915662650603,0.7232326870360366,0
72,0.19930334263260177,0.18213243,0.07439100173834202,0.05024922352806796,0.8431530911712888,0.2226276833723735,0.9894551845342706,0.8795180722891565,0.8489505172379294,0
